school_id,school_name,school_city,school_state,team_id,team_full_name,team_school_count,team_group_id,team_group_name,team_group_description,funder,connection_status,address,city,state,county,zipcode,latitude,longitude,database_school_name,database_state_name,lea_name,school_status,data_year,school_year,match_type,has_address_data
480016312790-es,Founders Classical Academy - Austin North,Austin,TX,zFQkHyDy9bGdbp81KuiF,Blueprint Futures,1,NONE,UNREFERENCED_TEAM,Team not in any group,Blueprint,team_ungrouped,9100 E US HWY 290,Austin,TX,Travis,78724,30.3300403,-97.6553622,Founders Classical Academy - Austin North,TEXAS,TEXAS COLLEGE PREPARATORY ACADEMIES,active,2023,2023-2024,direct,True
080234006858,Aurora Science & Tech High School,AURORA,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,2540 NORTH SCRANTON COURT,AURORA,CO,Adams County,80045.0,39.7536768,-104.8393247,Aurora Science & Tech High School,COLORADO,Aurora Joint District No. 28 of the counties of Adams and A,active,2023,2023-2024,direct,True
080234006787,Aurora Science & Tech Middle School,AURORA,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,10455 EAST 25TH AVENUE,AURORA,CO,Adams County,80010.0,39.7531779,-104.8661763,Aurora Science & Tech Middle School,COLORADO,Aurora Joint District No. 28 of the counties of Adams and A,active,2023,2023-2024,direct,True
080336006746,Dsst Middle School @ Noel Campus,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,10825 E 47TH AVE,DENVER,CO,Denver County,80239.0,39.7832947,-104.8620655,DSST: Elevate Northeast Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006684,Dsst: Byers High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,150 SOUTH PEARL STREET,DENVER,CO,Denver County,80209.0,39.7137017,-104.9798106,DSST: Cedar High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006572,Dsst: Byers Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,150 S PEARL STREET,DENVER,CO,Denver County,80209.0,39.7137017,-104.9798106,DSST: Cedar Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006636,Dsst: Cole High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,3240 HUMBOLDT STREET,DENVER,CO,Denver County,80205.0,39.7626241,-104.9686983,DSST: Cole High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006523,Dsst: Cole Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,3240 HUMBOLDT STREET,DENVER,CO,Denver County,80205.0,39.7626241,-104.9686983,DSST: Cole Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006658,Dsst: College View High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,3111 WEST DARTMOUTH AVENUE,DENVER,CO,Denver County,80236.0,39.6603355,-105.0272775,DSST: College View High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006554,Dsst: College View Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,3111 W DARTMOUTH AVE,DENVER,CO,Denver County,80236.0,39.6603355,-105.0272775,DSST: College View Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
