school_id,ncessch,school_name,entry_grade,projection_year,projection_type,grade,projected_enrollment,generated_at,survival_rate_min,survival_rate_median,survival_rate_max,entry_grade_low,entry_grade_high,entry_grade_median
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Kindergarten,14,2025-06-13T16:45:29.515758,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 1,11,2025-06-13T16:45:29.515786,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 2,10,2025-06-13T16:45:29.515792,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 3,13,2025-06-13T16:45:29.515796,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 4,10,2025-06-13T16:45:29.515799,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 5,8,2025-06-13T16:45:29.515802,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 6,10,2025-06-13T16:45:29.515805,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 7,16,2025-06-13T16:45:29.515809,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,min,Grade 8,7,2025-06-13T16:45:29.515812,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Kindergarten,14,2025-06-13T16:45:29.515815,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 1,10,2025-06-13T16:45:29.515819,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 2,11,2025-06-13T16:45:29.515821,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 3,11,2025-06-13T16:45:29.515824,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 4,11,2025-06-13T16:45:29.515826,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 5,6,2025-06-13T16:45:29.515829,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 6,9,2025-06-13T16:45:29.515831,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 7,10,2025-06-13T16:45:29.515834,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,min,Grade 8,9,2025-06-13T16:45:29.515836,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,min,Kindergarten,14,2025-06-13T16:45:29.515839,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,min,Grade 1,10,2025-06-13T16:45:29.515843,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,min,Grade 2,10,2025-06-13T16:45:29.515845,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,min,Grade 3,12,2025-06-13T16:45:29.515848,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,min,Grade 4,9,2025-06-13T16:45:29.515862,0.8125,0.8125,0.8125,,,
